track,lat,lon
338_110_0,48.154066,17.055783
338_110_0,48.153741,17.057165
338_110_0,48.153493,17.058172
338_110_0,48.153486,17.058202
338_110_0,48.153349,17.058789
338_110_0,48.153275,17.059096
338_110_0,48.153249,17.059207
338_110_0,48.153152,17.059687
338_110_0,48.1531,17.059875
338_110_0,48.153065,17.059982
338_110_0,48.153011,17.060128
338_110_0,48.152935,17.060291
338_110_0,48.152851,17.060455
338_110_0,48.152791,17.060561
338_110_0,48.152686,17.060704
338_110_0,48.152549,17.060858
338_110_0,48.15252,17.060889
338_110_0,48.152436,17.060967
338_110_0,48.152348,17.061035
338_110_0,48.152256,17.061105
338_110_0,48.152078,17.061227
338_110_0,48.151213,17.061802
338_110_0,48.150507,17.062281
338_110_0,48.150433,17.062332
338_110_0,48.150317,17.062409
338_110_0,48.150131,17.062501
338_110_0,48.149985,17.062574
338_110_0,48.149838,17.062617
338_110_0,48.149373,17.062937
338_110_0,48.149222,17.063075
338_110_0,48.149064,17.06319
338_110_0,48.148986,17.063242
338_110_0,48.148835,17.06338
338_110_0,48.148725,17.063501
338_110_0,48.14863,17.06363
338_110_0,48.148578,17.06371
338_110_0,48.148513,17.063832
338_110_0,48.148453,17.063949
338_110_0,48.148326,17.064198
338_110_0,48.148278,17.064319
338_110_0,48.148246,17.064426
338_110_0,48.148215,17.064543
338_110_0,48.148202,17.064599
338_110_0,48.148192,17.064658
338_110_0,48.148178,17.06478
338_110_0,48.148175,17.065152
338_110_0,48.148174,17.06551
338_110_0,48.148171,17.066033
338_110_0,48.14817,17.066266
338_110_0,48.148166,17.06779
338_110_0,48.148156,17.069058
338_110_0,48.148141,17.070099
338_110_0,48.148124,17.070506
338_110_0,48.148114,17.070717
338_110_0,48.148095,17.070962
338_110_0,48.147987,17.072417
338_110_0,48.147953,17.073332
338_110_0,48.147937,17.073631
338_110_0,48.147909,17.073911
338_110_0,48.14788,17.074126
338_110_0,48.147839,17.074312
338_110_0,48.147773,17.074534
338_110_0,48.147687,17.074801
338_110_0,48.14767,17.074847
338_110_0,48.147616,17.074961
338_110_0,48.147549,17.075086
338_110_0,48.147481,17.075202
338_110_0,48.147359,17.075366
338_110_0,48.147221,17.075528
338_110_0,48.146848,17.075856
338_110_0,48.146727,17.075961
338_110_0,48.146717,17.076008
338_110_0,48.146677,17.076085
338_110_0,48.146665,17.076173
338_110_0,48.146662,17.076207
338_110_0,48.146662,17.076233
338_110_0,48.146663,17.076289
338_110_0,48.146768,17.076218
338_110_0,48.147005,17.076047
338_110_0,48.147151,17.075897
338_110_0,48.147285,17.07576
338_110_0,48.14735,17.075682
338_110_0,48.147414,17.075602
338_110_0,48.147474,17.07552
338_110_0,48.147532,17.075433
338_110_0,48.14763,17.075269
338_110_0,48.147713,17.075122
338_110_0,48.147785,17.074965
338_110_0,48.147856,17.074784
338_110_0,48.147913,17.074618
338_110_0,48.147968,17.074434
338_110_0,48.148015,17.074253
338_110_0,48.148063,17.074026
338_110_0,48.148101,17.073813
338_110_0,48.148128,17.073619
338_110_0,48.148174,17.073241
338_110_0,48.148262,17.071972
338_110_0,48.148272,17.071619
338_110_0,48.148288,17.070894
338_110_0,48.148292,17.070745
338_110_0,48.148294,17.070516
338_1147_0,48.158929,17.046365
338_1147_0,48.158929,17.046365
338_1147_0,48.158948,17.046687
338_1147_0,48.158952,17.046728
338_1147_0,48.158957,17.046752
338_1147_0,48.158964,17.046764
338_1147_0,48.159042,17.046883
338_1147_0,48.159054,17.0469
